Sample_ID	RTS0108626	RTS0108627	RTS0108628	RTS0108629	RTS0108630	RTS0108631	RTS0108632	RTS0108633	RTS0108634	RTS0108635	RTS0108636	RTS0108637	RTS0108638	RTS0108639	RTS0108640	RTS0108641	RTS0108642	RTS0108643	RTS0108644	RTS0108645	RTS0108646	RTS0108647	RTS0108648	RTS0108649	RTS0108650	RTS0108651	RTS0108652	RTS0108653	RTS0108654	RTS0108655	RTS0108656	RTS0108657	RTS0108658	RTS0108659	RTS0108660	RTS0108661	RTS0108662	RTS0108663	RTS0108664	RTS0108665	RTS0108666	RTS0108667	RTS0108668	RTS0108669	RTS0108670	RTS0108671	RTS0108672	RTS0108673	RTS0108674	RTS0108675	RTS0108676	RTS0108677	RTS0108678	RTS0108679	RTS0108680	RTS0108681	RTS0108682	RTS0108683	RTS0108684	RTS0108685	RTS0108686	RTS0108687	RTS0108688	RTS0108689	RTS0108690	RTS0108691	RTS0108692	RTS0108693	RTS0108694	RTS0108695	RTS0108696	RTS0108697	RTS0108698	RTS0108699	RTS0108700	RTS0108701	RTS0108702	RTS0108703	RTS0108704	RTS0108705	RTS0108706	RTS0108707	RTS0108708	RTS0108709	RTS0108710	RTS0108711	RTS0108712	RTS0108713	RTS0108714	RTS0108715	RTS0108716	RTS0108717	RTS0108718	RTS0108719	RTS0108720	RTS0108721	RTS0108722	RTS0108723	RTS0108724	RTS0108725	RTS0108726	RTS0108727	RTS0108728	RTS0108729	RTS0108730	RTS0108731	RTS0108732	RTS0108733	RTS0108734	RTS0108735	RTS0108736	RTS0108737	RTS0108738	RTS0108739	RTS0108740	RTS0108741	RTS0108742	RTS0108743	RTS0108744	RTS0108745	RTS0108746	RTS0108747	RTS0108748	RTS0108749	RTS0108750	RTS0108751	RTS0108752	RTS0108753	RTS0108754	RTS0108755	RTS0108756	RTS0108757	RTS0108758	RTS0108759	RTS0108760	RTS0108761	RTS0108762	RTS0108763	RTS0108764	RTS0108765	RTS0108766	RTS0108767	RTS0108768	RTS0108769	RTS0108770	RTS0108771	RTS0108772	RTS0108773	RTS0108774	RTS0108775	RTS0108776	RTS0108777	RTS0108778	RTS0108779	RTS0108780	RTS0108781	RTS0108782	RTS0108783	RTS0108784	RTS0108785	RTS0108786	RTS0108787	RTS0108788	RTS0108789	RTS0108790	RTS0108791	RTS0108792	RTS0108793	RTS0108794	RTS0108795	RTS0108796	RTS0108797	RTS0108798	RTS0108799	RTS0108800	RTS0108801	RTS0108802	RTS0108803	RTS0108804	RTS0108805	RTS0108806	RTS0108807	RTS0108808	RTS0108809	RTS0108810	RTS0108811	RTS0108812	RTS0108813	RTS0108814	RTS0108815	RTS0108816	RTS0108817
DSP-1001660008440-A01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSP-1001660008440-A02	1526	1569	1279	2248	1577	1599	1690	2033	1698	1945	1544	1352	1280	1634	1363	1284	1276	1392	1651	1665	1447	2838	2693	1385	1951	3731	1820	1266	8333	1644	1309	1435	1615	1611	2042	1510	1198	1234	1486	1666	1955	1603	1973	3206	1695	1737	2044	2024	1730	5043	1238	1521	1274	1445	1851	1403	1492	1599	1897	1931	1288	1217	1449	1379	1486	2579	1367	1853	1393	1790	2146	2454	2174	1831	2011	3314	2371	2410	8915	2356	2124	2173	3029	2268	1531	2034	1828	2145	3665	2201	1312	1458	1312	1254	1460	1446	1360	1439	1354	1313	1289	1472	1332	1588	1418	1816	1579	1388	1368	1504	1407	1420	1397	1777	1749	2101	1889	1605	1467	1225	1235	1532	1413	1668	1630	1645	1509	1173	1769	1855	1887	1402	5220	1275	2020	1760	1806	1452	1640	1648	1541	1332	1218	1501	1172	1292	1316	1209	1434	1534	1485	1762	1265	1590	1142	1052	1079	1297	1072	1653	1640	1528	1500	1379	1476	1338	1620	1057	1460	1633	1480	1654	1698	1662	1607	1667	1408	1186	1388	1013	1950	1353	1860	1852	1697	11213	2353	2241	16324	17659	3053	1842
DSP-1001660008440-A03	1352	1214	1246	1805	1318	1495	1406	1587	1513	1458	1065	859	930	1152	1017	935	1023	1028	1184	1225	1135	2054	1927	891	1371	2769	1259	1024	5693	1336	926	945	1156	1007	1369	1120	849	866	1032	1076	1803	1731	1777	2495	1620	1546	1613	1849	1743	4289	872	1058	783	967	1152	985	958	1144	1159	1270	898	899	945	920	878	1814	992	1216	938	1158	2003	1842	1779	1339	1700	3155	2040	2076	6669	2092	1128	1084	1729	1475	806	999	911	1217	2098	1167	880	1018	955	906	1001	935	927	1110	928	930	869	1009	921	1151	1009	1336	1113	986	936	1041	954	923	979	1240	1161	1422	1242	1114	1121	994	951	1032	1051	1084	1207	1128	1099	890	1239	1362	1403	986	3374	875	1381	1149	1164	1105	924	1048	991	944	803	954	766	849	846	726	936	1102	942	1123	924	949	761	691	691	884	712	959	1129	1130	1106	964	990	859	961	772	1003	993	1062	1106	1102	1073	1034	1135	969	843	933	674	1262	996	1339	1285	1255	7068	1308	1125	5591	6175	5498	4611
DSP-1001660008440-A04	195	172	165	239	196	189	190	250	210	244	151	132	119	200	150	136	125	161	133	176	177	255	301	140	188	371	205	144	829	186	132	153	147	178	209	158	106	111	152	219	236	267	261	391	192	230	232	293	228	672	126	156	120	125	191	141	133	191	170	193	110	134	137	116	136	270	136	178	166	196	269	286	265	272	207	480	285	296	950	302	159	163	266	204	103	152	106	199	335	120	110	151	161	126	159	130	118	144	140	118	143	129	147	158	138	188	157	141	132	142	165	130	139	132	158	207	180	149	127	129	144	149	142	135	177	159	170	135	187	173	213	133	601	139	253	178	150	185	136	210	176	130	165	148	109	107	149	109	135	117	132	150	127	159	100	112	108	138	81	141	152	171	170	127	158	124	152	94	145	186	144	146	156	153	147	151	155	116	104	85	185	156	162	188	151	987	168	200	758	802	809	683
DSP-1001660008440-A05	14	12	12	23	19	14	11	15	23	18	11	9	13	17	9	8	10	12	16	18	6	24	15	10	9	21	10	14	63	14	10	7	11	7	15	13	8	8	9	13	16	17	13	27	16	16	17	19	33	41	3	15	6	9	9	6	17	14	11	12	5	11	8	7	13	17	11	15	9	10	10	13	24	19	17	21	13	25	72	16	13	9	22	11	6	17	2	11	21	8	12	5	7	10	7	10	18	7	11	7	3	13	6	16	10	8	14	7	9	8	11	9	16	10	11	10	10	13	9	10	8	14	11	18	8	8	7	9	15	19	37	11	37	7	9	14	18	9	7	15	12	11	3	9	6	7	6	8	10	10	10	12	11	9	5	6	8	30	6	12	11	15	8	8	13	8	7	8	11	12	8	11	8	11	7	11	17	7	19	10	11	10	9	12	15	60	15	14	51	53	64	45
DSP-1001660008440-A06	1390	1325	1188	1874	1388	1455	1435	1715	1533	1569	1077	1051	992	1123	966	911	1046	1117	1138	1156	1187	2232	2077	1013	1390	2786	1295	1032	6040	1350	1010	964	1147	1148	1503	1008	940	880	1000	1091	1905	1771	1975	2731	1643	1873	1726	2072	1858	4520	946	1055	890	902	1188	1009	1000	1157	1335	1397	881	1328	1179	949	1020	1970	1099	1253	1071	1279	2019	2068	1897	1732	1774	3264	2284	2123	6885	2070	1213	1133	1732	1481	810	1114	1123	1287	2225	1244	905	1045	980	909	996	951	944	1062	1077	1024	931	1117	949	1078	1056	1372	1227	1061	973	1088	929	993	973	1269	1213	1503	1312	1064	1087	968	938	1065	1072	1153	1246	1212	1197	987	1287	1361	1415	979	3601	966	1572	1222	1325	1084	878	1076	1072	906	834	1078	802	852	905	781	1008	1020	1418	1207	935	1037	799	757	725	964	724	1056	1207	1100	1021	925	1161	849	996	708	1101	1160	1062	1107	1295	1230	1116	1092	1008	865	1036	708	1293	1032	1281	1314	1248	7724	1418	1184	5683	6488	5988	5033
DSP-1001660008440-A07	190	172	189	237	204	199	199	233	200	231	163	130	128	152	160	182	167	153	171	167	161	302	283	115	195	416	185	118	853	170	131	127	175	156	201	143	145	120	134	143	262	222	263	385	195	247	241	267	213	596	106	143	119	134	182	156	122	159	163	155	108	129	107	106	140	272	145	157	128	141	247	249	223	221	242	440	290	281	950	263	174	166	260	176	108	143	120	267	305	158	100	136	151	116	147	140	126	125	135	124	112	137	144	135	155	177	150	127	123	127	132	113	121	165	144	209	170	162	150	110	107	145	131	181	175	148	148	108	198	174	184	131	568	136	201	197	175	153	124	160	136	116	93	141	130	115	154	116	139	136	153	194	121	150	108	105	104	112	96	137	135	159	169	141	124	116	137	118	113	145	143	126	126	165	148	176	123	98	152	96	174	131	168	150	173	960	196	155	789	791	819	640
DSP-1001660008440-A08	9	13	19	20	15	12	13	34	23	10	28	22	12	13	6	7	3	13	14	8	12	23	34	9	35	28	10	5	67	17	10	6	10	16	20	9	7	10	9	15	17	25	19	43	20	21	22	15	34	77	9	23	37	11	9	11	7	20	20	9	7	13	16	7	19	21	7	13	9	12	27	20	19	19	34	28	22	19	80	17	9	15	18	16	11	12	10	13	27	11	7	21	10	5	8	11	2	8	12	20	16	14	7	8	13	26	11	16	8	5	12	11	9	7	14	12	6	13	15	13	9	11	6	8	17	8	9	11	16	10	14	10	41	7	14	15	12	12	15	14	10	3	6	11	12	10	5	5	9	17	6	12	13	10	14	6	12	13	7	18	7	6	4	15	14	7	12	9	6	10	7	15	16	22	11	14	5	10	4	2	12	11	22	7	10	68	18	26	66	63	80	59
DSP-1001660008440-A09	1489	1452	1537	1758	1746	1402	1506	1646	1488	1685	708	650	555	743	625	597	653	630	730	716	675	1457	1366	563	916	2144	879	598	3836	777	589	555	766	730	946	733	524	527	610	656	2179	2431	2235	2794	2087	2217	1933	2476	2270	4606	490	698	498	614	688	663	595	681	710	865	515	585	631	545	654	1413	603	752	582	731	643	744	726	623	623	978	705	767	5037	713	783	711	1221	891	515	789	694	880	1455	872	481	624	592	580	688	648	675	619	599	579	675	626	661	697	664	880	773	637	602	606	629	586	559	716	913	861	876	684	631	569	576	635	625	739	772	753	621	521	837	875	932	576	2323	492	1102	763	754	645	501	742	723	651	487	655	502	604	544	482	524	564	505	723	659	693	504	437	430	502	453	578	647	681	605	564	617	569	626	435	611	620	635	614	719	638	686	589	648	464	524	512	729	587	745	1066	853	10377	1179	1156	5516	5957	2680	1803
DSP-1001660008440-A10	857	923	760	1777	1089	1066	1149	1215	1074	1114	1033	835	1080	1205	1011	907	925	959	1125	1142	969	1499	1685	843	1137	2158	1044	840	7970	972	897	1026	1017	976	1174	1059	828	920	1032	1107	1141	901	1280	1561	1095	991	1187	1156	1003	2213	931	994	780	980	1023	952	1032	1168	1179	1263	2573	2727	2491	2836	2897	3485	2869	2373	2130	3008	1087	1135	1186	1002	952	1474	1096	1167	3328	1169	913	1065	1415	1239	687	962	866	1166	1489	1083	923	1008	906	865	872	921	914	968	1075	1042	870	1060	917	1109	1069	2664	1122	1020	825	1088	996	831	926	1235	1145	1352	1333	1062	1004	828	902	919	1018	1116	1107	1104	1020	916	1197	1112	1340	769	2273	883	1258	1115	1202	1039	935	1020	990	860	862	1026	1007	767	907	771	940	1092	1019	1210	1139	1084	795	678	699	852	689	1045	1099	1133	1023	967	999	878	843	676	1137	1220	960	1091	1041	1156	1059	1072	1001	750	905	702	1236	934	1295	1409	1294	11397	1388	1275	3003	3181	1958	1426
