Sample_ID	Raw	Trimmed	Stitched	Aligned	Unique
DSP-1001660008440-A01	545641	533607	1548	1	1
DSP-1001660008440-A02	9238793	9217323	9163065	8976135	381036
DSP-1001660008440-A03	1599135	1595566	1585340	1549497	263865
DSP-1001660008440-A04	1032169	1029402	1017100	996630	38235
DSP-1001660008440-A05	61534	61045	53770	50420	2682
DSP-1001660008440-A06	6429484	6414976	6379311	6253314	278007
DSP-1001660008440-A07	851619	848724	826535	807753	37065
DSP-1001660008440-A08	199770	193683	67044	65420	3082
DSP-1001660008440-A09	3482511	3473170	3415760	3346038	192860
DSP-1001660008440-A10	5094156	5081619	5046120	4943581	247234
DSP-1001660008440-A11	2286117	2279731	2261595	2215974	213971
DSP-1001660008440-A12	4270401	4259248	4209899	4125765	181735
DSP-1001660008440-B01	4938682	4925579	4889225	4788307	226706
DSP-1001660008440-B02	5086412	5075062	5048095	4946149	230490
DSP-1001660008440-B03	3532109	3521579	3488703	3415075	173465
DSP-1001660008440-B04	5373856	5364760	5341862	5233895	223752
DSP-1001660008440-B05	5226532	5215450	5191014	5087633	256748
DSP-1001660008440-B06	5080190	5069543	5023849	4921351	263087
DSP-1001660008440-B07	3273464	3265954	3249292	3184258	146194
DSP-1001660008440-B08	7313419	7297087	7258288	7108645	348143
DSP-1001660008440-B09	6136956	6124003	6095352	5977080	298306
DSP-1001660008440-B10	168300	167521	161102	157962	34828
DSP-1001660008440-B11	75437	74446	45751	44808	2812
DSP-1001660008440-B12	4537931	4527576	4479961	4389058	250224
DSP-1001660008440-C01	888358	885937	866796	850613	41294
DSP-1001660008440-C02	76429	75905	69744	68240	3033
DSP-1001660008440-C03	1050635	1047595	1035851	1014484	103868
DSP-1001660008440-C04	4207314	4193097	4162124	4077359	278416
DSP-1001660008440-C05	7307566	7288471	7246487	7102959	373967
DSP-1001660008440-C06	5111087	5097558	5062256	4964014	273059
DSP-1001660008440-C07	6009921	5995245	5956382	5838946	266940
DSP-1001660008440-C08	5272256	5259093	5229546	5125201	220381
DSP-1001660008440-C09	5075353	5063066	5031630	4936363	241385
DSP-1001660008440-C10	5635275	5619325	5572539	5461263	263679
DSP-1001660008440-C11	5079606	5069011	5036158	4937084	231262
DSP-1001660008440-C12	4178285	4167261	4138720	4057934	227883
DSP-1001660008440-D01	5716005	5701259	5665826	5555723	228886
DSP-1001660008440-D02	18002363	17961969	17869070	17516810	766798
DSP-1001660008440-D03	12120538	12093505	12032762	11795930	496022
DSP-1001660008440-D04	1773664	1768490	1739957	1705114	78907
DSP-1001660008440-D05	226087	224593	158640	154707	7998
DSP-1001660008440-D06	16471899	16435230	16349421	16018032	671939
DSP-1001660008440-D07	1742081	1737963	1720733	1682530	90561
DSP-1001660008440-D08	123784	122710	103486	101203	5255
DSP-1001660008440-D09	10114241	10089691	10026885	9828284	510939
DSP-1001660008440-D10	12407316	12371449	12277874	12031137	633687
DSP-1001660008440-D11	12495902	12468942	12398029	12157895	557114
DSP-1001660008440-D12	8697098	8667342	8605872	8433489	541822
DSP-1001660008440-E01	12142697	12113494	12043594	11804026	557710
DSP-1001660008440-E02	14063040	14032456	13957808	13680588	649039
DSP-1001660008440-E03	6508978	6491300	6451946	6321175	335358
DSP-1001660008440-E04	13249382	13220870	13156811	12895672	577778
DSP-1001660008440-E05	12948525	12916437	12844588	12592069	664462
DSP-1001660008440-E06	9243379	9217992	9170096	8992399	582552
DSP-1001660008440-E07	6110261	6096377	6063297	5861036	278338
DSP-1001660008440-E08	15939910	15904474	15826012	15515346	738284
DSP-1001660008440-E09	19287923	19243140	19144287	18768304	1012736
DSP-1001660008440-E10	2421009	2415441	2396600	2350045	114987
DSP-1001660008440-E11	184103	183623	178360	173886	8568
DSP-1001660008440-E12	17789435	17747806	17652881	17296510	902687
DSP-1001660008440-F01	2444759	2435877	2401120	2352912	104957
DSP-1001660008440-F02	312405	307980	216816	207108	11807
DSP-1001660008440-F03	7679879	7662192	7619612	7467583	325728
DSP-1001660008440-F04	7633054	7607671	7550620	7400148	561954
DSP-1001660008440-F05	16357215	16316326	16213767	15890150	769946
DSP-1001660008440-F06	16598180	16556665	16476878	16148607	816514
DSP-1001660008440-F07	13021394	12992073	12926191	12662230	587160
DSP-1001660008440-F08	9850671	9826719	9770093	9575650	466802
DSP-1001660008440-F09	11441003	11412969	11353240	11127949	591182
DSP-1001660008440-F10	16201009	16165521	16080856	15763593	802971
DSP-1001660008440-F11	17349237	17310196	17182378	16832041	762065
DSP-1001660008440-F12	16047303	16010600	15924119	15604324	748522
DSP-1001660008440-G01	14163443	14125621	14040289	13760421	608846
