File: DSP-1001660008440-A01, Raw: 545641, Trimmed: 533607, Stitched: 1548, Aligned: 1
File: DSP-1001660008440-A02, Raw: 9238793, Trimmed: 9217323, Stitched: 9163778, Aligned: 8976135
File: DSP-1001660008440-A03, Raw: 1599135, Trimmed: 1595566, Stitched: 1585459, Aligned: 1549497
File: DSP-1001660008440-A04, Raw: 1032169, Trimmed: 1029402, Stitched: 1017193, Aligned: 996630
File: DSP-1001660008440-A05, Raw: 61534, Trimmed: 61045, Stitched: 53771, Aligned: 50420
File: DSP-1001660008440-A06, Raw: 6429484, Trimmed: 6414976, Stitched: 6379806, Aligned: 6253314
File: DSP-1001660008440-A07, Raw: 851619, Trimmed: 848724, Stitched: 826602, Aligned: 807753
File: DSP-1001660008440-A08, Raw: 199770, Trimmed: 193683, Stitched: 67054, Aligned: 65420
File: DSP-1001660008440-A09, Raw: 3482511, Trimmed: 3473170, Stitched: 3416033, Aligned: 3346038
File: DSP-1001660008440-A10, Raw: 5094156, Trimmed: 5081619, Stitched: 5046536, Aligned: 4943581
File: DSP-1001660008440-A11, Raw: 2286117, Trimmed: 2279731, Stitched: 2261765, Aligned: 2215974
File: DSP-1001660008440-A12, Raw: 4270401, Trimmed: 4259248, Stitched: 4210244, Aligned: 4125765
File: DSP-1001660008440-B01, Raw: 4938682, Trimmed: 4925579, Stitched: 4889658, Aligned: 4788307
File: DSP-1001660008440-B02, Raw: 5086412, Trimmed: 5075062, Stitched: 5048550, Aligned: 4946149
File: DSP-1001660008440-B03, Raw: 3532109, Trimmed: 3521579, Stitched: 3488947, Aligned: 3415075
File: DSP-1001660008440-B04, Raw: 5373856, Trimmed: 5364760, Stitched: 5342135, Aligned: 5233895
File: DSP-1001660008440-B05, Raw: 5226532, Trimmed: 5215450, Stitched: 5191421, Aligned: 5087633
File: DSP-1001660008440-B06, Raw: 5080190, Trimmed: 5069543, Stitched: 5024198, Aligned: 4921351
File: DSP-1001660008440-B07, Raw: 3273464, Trimmed: 3265954, Stitched: 3249594, Aligned: 3184258
File: DSP-1001660008440-B08, Raw: 7313419, Trimmed: 7297087, Stitched: 7258856, Aligned: 7108645
File: DSP-1001660008440-B09, Raw: 6136956, Trimmed: 6124003, Stitched: 6095894, Aligned: 5977080
File: DSP-1001660008440-B10, Raw: 168300, Trimmed: 167521, Stitched: 161115, Aligned: 157962
File: DSP-1001660008440-B11, Raw: 75437, Trimmed: 74446, Stitched: 45752, Aligned: 44808
File: DSP-1001660008440-B12, Raw: 4537931, Trimmed: 4527576, Stitched: 4480295, Aligned: 4389058
File: DSP-1001660008440-C01, Raw: 888358, Trimmed: 885937, Stitched: 866866, Aligned: 850613
File: DSP-1001660008440-C02, Raw: 76429, Trimmed: 75905, Stitched: 69750, Aligned: 68240
File: DSP-1001660008440-C03, Raw: 1050635, Trimmed: 1047595, Stitched: 1035956, Aligned: 1014484
File: DSP-1001660008440-C04, Raw: 4207314, Trimmed: 4193097, Stitched: 4162534, Aligned: 4077359
File: DSP-1001660008440-C05, Raw: 7307566, Trimmed: 7288471, Stitched: 7247240, Aligned: 7102959
File: DSP-1001660008440-C06, Raw: 5111087, Trimmed: 5097558, Stitched: 5062678, Aligned: 4964014
File: DSP-1001660008440-C07, Raw: 6009921, Trimmed: 5995245, Stitched: 5956864, Aligned: 5838946
File: DSP-1001660008440-C08, Raw: 5272256, Trimmed: 5259093, Stitched: 5230009, Aligned: 5125201
File: DSP-1001660008440-C09, Raw: 5075353, Trimmed: 5063066, Stitched: 5031989, Aligned: 4936363
File: DSP-1001660008440-C10, Raw: 5635275, Trimmed: 5619325, Stitched: 5573077, Aligned: 5461263
File: DSP-1001660008440-C11, Raw: 5079606, Trimmed: 5069011, Stitched: 5036516, Aligned: 4937084
File: DSP-1001660008440-C12, Raw: 4178285, Trimmed: 4167261, Stitched: 4139156, Aligned: 4057934
File: DSP-1001660008440-D01, Raw: 5716005, Trimmed: 5701259, Stitched: 5666257, Aligned: 5555723
File: DSP-1001660008440-D02, Raw: 18002363, Trimmed: 17961969, Stitched: 17870536, Aligned: 17516810
File: DSP-1001660008440-D03, Raw: 12120538, Trimmed: 12093505, Stitched: 12033768, Aligned: 11795930
File: DSP-1001660008440-D04, Raw: 1773664, Trimmed: 1768490, Stitched: 1740073, Aligned: 1705114
File: DSP-1001660008440-D05, Raw: 226087, Trimmed: 224593, Stitched: 158651, Aligned: 154707
File: DSP-1001660008440-D06, Raw: 16471899, Trimmed: 16435230, Stitched: 16350845, Aligned: 16018032
